Data incidente,Giorno,Denominazione strada o centro abitato,Localita' dell'incidente,Latitudine,Longitudine,Centro abitato,Tipologia del sinistro,Tipo di strada,Caratteristiche della strada,Stato fondo stradale,Tipo pavimentazione,Condizioni meteo,Condizioni traffico,Danni a cose,Incidente con lesioni,Persone ferite,Pedoni feriti,Persone decedute,Pedoni deceduti,Prognosi riservate,Prognosi fino a 20 gg,Prognosi da 21 a 40 gg,Prognosi oltre 40 gg,N. veicoli coinvolti,Autovettura pr.,Autovettura pb.,Autocarro,Autobus,Motocarro,Motociclo,Ciclomotore,Quadriciclo,Velocipede,Micromobilita' elettrica,Altro,Violazioni,LAT/LONG
22 January 2023,Dom,Viale delle Industrie in prossimita' del civico n.13,MONZA,45.56776,9.2876,si,Veicolo in marcia contro ostacolo fisso,Strada Urbana,Pianeggiante,Asciutto,Asfaltata,Sereno,Scarso,si,no,,,,,,,,,1,1.0,,,,,,,,,,,Art.141/2 CdS,POINT (9.2876 45.56776)
08 May 2023,Lun,Via Gaetano Casati in prossimita' del civico n.3 B,MONZA,45.5743495,9.2695399,si,Infortunio per sola frenata improvvisa,Strada Urbana,Rettilineo,Bagnato (pioggia),Asfaltata,Nuvoloso,Normale,no,si,1.0,,,,,1.0,,,1,,,,,,1.0,,,,,,Art.141/2 CdS,POINT (9.2695399 45.5743495)
15 June 2023,Gio,VIA ADDA all'intersezione con Via Goffredo Mameli,MONZA,45.5725515,9.3149171,si,Tamponamento,Strada Urbana,Rotatoria,Asciutto,Asfaltata,Sereno,Normale,no,no,,,,,,,,,2,2.0,,,,,,,,,,,Art.141/2 CdS,POINT (9.3149171 45.5725515)
21 September 2023,Gio,VIA PO all'intersezione con Via Enrico Tazzoli,MONZA,45.5754748,9.2432113,si,Tamponamento,Strada Urbana,Rotatoria,Asciutto,Asfaltata,Nuvoloso,Scarso,no,si,1.0,,,,,1.0,,,2,1.0,,,,,,,,1.0,,,Art.145/1 CdS,POINT (9.2432113 45.5754748)
24 November 2023,Ven,Via Eugenio Spreafico all'intersezione con VIA MANZONI,MONZA,45.5854578,9.2698648,si,Scontro frontale/laterale DX fra veicoli in marcia,Strada Urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,no,,,,,,,,,2,1.0,,,1.0,,,,,,,,Art.145/5 CdS,POINT (9.2698648 45.5854578)
13 October 2023,Ven,Via Aquileia sul ponte,MONZA,45.56363,9.26289,si,Scontro frontale/laterale SX fra veicoli in marcia,Strada Urbana,Cavalcavia,Asciutto,Asfaltata,Sereno,Normale,no,si,1.0,,,,,1.0,,,2,1.0,,,,,1.0,,,,,,Art.154/1 CdS,POINT (9.26289 45.56363)
27 January 2023,Ven,Via Lecco all'intersezione semaforizzata con Via Aliprandi Pinalla,MONZA,45.58514704,9.28097936,si,Scontro frontale/laterale SX fra veicoli in marcia,Strada Urbana,Incrocio,Asciutto,Asfaltata,Nuvoloso,Intenso,si,si,1.0,,,,,1.0,,,2,2.0,,,,,,,,,,,"Art.141/1 CdS, Art.141/3 CdS, Art.180/1 CdS, Art.189/6 CdS, Art.192/1 CdS",POINT (9.28097936 45.58514704)
06 December 2023,Mer,Viale Lombardia Esselunga,MONZA,45.57045702,9.246302357,si,Fuoriuscita dalla sede stradale,Strada Urbana,Curva a visuale libera,Asciutto,Asfaltata,Sereno,Normale,no,si,1.0,,,,,,1.0,,1,,,,,,1.0,,,,,,Art.141/2 CdS,POINT (9.246302357 45.57045702)
09 October 2023,Lun,Viale delle Industrie all'intersezione con VIA SALVADORI,MONZA,45.5696449,9.2941104,si,Scontro laterale fra veicoli in marcia,Strada Urbana,Rotatoria,Asciutto,Asfaltata,Sereno,Normale,no,no,,,,,,,,,2,1.0,,1.0,,,,,,,,,"Art.102/7 CdS, Art.154/1 CdS",POINT (9.2941104 45.5696449)
01 June 2023,Gio,VIALE STUCCHI all'intersezione con VIA SALVADORI,MONZA,45.58157,9.30717,no,Infortunio per caduta da veicolo,Comunale extraurbana,Rotatoria,Asciutto,Asfaltata,Sereno,Intenso,no,si,2.0,,,,,2.0,,,1,,,,,,1.0,,,,,,,POINT (9.30717 45.58157)
21 February 2023,Mar,Via della Taccona all'intersezione semaforizzata con Via Ludwig Van Beethoven,MONZA,45.57618,9.23101,si,Scontro laterale fra veicoli in marcia,Provinciale entro l'abitato,Intersezione semaforizzata,Asciutto,Asfaltata,Sereno,Normale,no,si,1.0,,,,,1.0,,,2,1.0,,,,,1.0,,,,,,Art.154/8 CdS,POINT (9.23101 45.57618)
18 November 2023,Sab,VIA RAMAZZOTTI in prossimita' del civico n.24,MONZA,,,si,Scontro frontale/laterale SX fra veicoli in marcia,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,si,1.0,,,,,1.0,,,2,1.0,,,,,,,,,1.0,,"Art.143/1 CdS, Art.154/1 CdS, Art.1/75 -12 Legge n. 160/2019 â€“ Mobilita' elettrica",
06 February 2023,Lun,Via Camillo Prampolini altezza rotatoria,MONZA,45.5877381,9.292491,si,Tamponamento Multiplo,Strada Urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Intenso,no,si,1.0,,,,,1.0,,,3,1.0,,,,,,,,,,2.0,,POINT (9.292491 45.5877381)
